Common_name,Scientific_name_rept.
Korean fir,Abies koreana
Fraser fir,Abies fraseri
Balsam fir,Abies balsamea
Nordmann fir,Abies nordmanniana
Noble fir,Abies procera
Grand fir,Abies grandis
Deodar cedar,Cedrus deodara
Douglas fir,Pseudotsuga menziesii
White pine,Pinus strobus
Ponderosa pine,Pinus ponderosa
Red pine,Pinus resinosa
Scote pine,Pinus sylvestris
Austrian pine,Pinus nigra
Scrub pine,Pinus virginiana
Lodgepole pine,Pinus contorta
Blue spruce, Picea pungens
White spruce,Picea glauca
Norway spruce,Picea abies
Madagascan cycad,Cycas thouarsii
